,1,1074563512248
1503,2,1074563513751
1503,3,1074563515254
1502,4,1074563516756
1503,5,1074563518259
1503,6,1074563519762
1503,7,1074563521265
1503,8,1074563522768
1502,9,1074563524270
3006,10,1074563527276
1503,11,1074563528779
1503,12,1074563530282
1502,13,1074563531784
1503,14,1074563533287
1503,15,1074563534790
1503,16,1074563536293
1503,17,1074563537796
1503,18,1074563539299
1502,19,1074563540801
1503,20,1074563542304
1503,21,1074563543807
1503,22,1074563545310
1502,23,1074563546812
1503,24,1074563548315
1503,25,1074563549818
1503,26,1074563551321
1503,27,1074563552824
1502,28,1074563554326
1503,29,1074563555829
1503,30,1074563557332
1503,31,1074563558835
1503,32,1074563560338
1502,33,1074563561840
1503,34,1074563563343
1503,35,1074563564846
1503,36,1074563566349
1503,37,1074563567852
1502,38,1074563569354
1503,39,1074563570857
1503,40,1074563572360
1503,41,1074563573863
1503,42,1074563575366
1502,43,1074563576868
1503,44,1074563578371
1503,45,1074563579874
1503,46,1074563581377
1503,47,1074563582880
1502,48,1074563584382
3006,49,1074563587388
1503,50,1074563588891
1503,51,1074563590394
1502,52,1074563591896
1503,53,1074563593399
1503,54,1074563594902
1503,55,1074563596405
1503,56,1074563597908
1502,57,1074563599410
1503,58,1074563600913
1503,59,1074563602416
1503,60,1074563603919
1503,61,1074563605422
1502,62,1074563606924
1503,63,1074563608427
1503,64,1074563609930
1503,65,1074563611433
1503,66,1074563612936
1502,67,1074563614438
1503,68,1074563615941
1503,69,1074563617444
1503,70,1074563618947
1503,71,1074563620450
1502,72,1074563621952
1503,73,1074563623455
1503,74,1074563624958
3006,75,1074563627964
1502,76,1074563629466
1503,77,1074563630969
1503,78,1074563632472
1503,79,1074563633975
1503,80,1074563635478
1502,81,1074563636980
1503,82,1074563638483
1503,83,1074563639986
1503,84,1074563641489
1503,85,1074563642992
1502,86,1074563644494
1503,87,1074563645997
1503,88,1074563647500
1503,89,1074563649003
1503,90,1074563650506
1502,91,1074563652008
1503,92,1074563653511
1503,93,1074563655014
1503,94,1074563656517
1502,95,1074563658019
1503,96,1074563659522
1503,97,1074563661025
1503,98,1074563662528
1503,99,1074563664031
1502,100,1074563665533
1503,101,1074563667036
1503,102,1074563668539
1503,103,1074563670042
1503,104,1074563671545
1502,105,1074563673047
1503,106,1074563674550
1503,107,1074563676053
1503,108,1074563677556
1503,109,1074563679059
1503,110,1074563680562
1502,111,1074563682064
1503,112,1074563683567
1503,113,1074563685070
1503,114,1074563686573
1503,115,1074563688076
1502,116,1074563689578
1503,117,1074563691081
1503,118,1074563692584
1503,119,1074563694087
1502,120,1074563695589
1503,121,1074563697092
1503,122,1074563698595
1503,123,1074563700098
1503,124,1074563701601
1502,125,1074563703103
1503,126,1074563704606
1503,127,1074563706109
1503,128,1074563707612
1503,129,1074563709115
1502,130,1074563710617
1503,131,1074563712120
1503,132,1074563713623
1503,133,1074563715126
3005,134,1074563718131
1503,135,1074563719634
